dataset_name,model_name,run_num,performance,time_used,higher_is_better
ham10000,aide_def,2,,,True
hateful_meme,aide_def,2,0.46682,1907,True
isic2017,aide_def,2,,,True
kick_starter_funding,aide_def,2,,,True
memotion,aide_def,2,,,True
mldoc,aide_def,2,0.96457,10801,True
nn5_daily_without_missing,aide_def,2,,,False
petfinder,aide_def,2,,,True
road_segmentation,aide_def,2,,,True
rvl_cdip,aide_def,2,,,True
solar_10_minutes,aide_def,2,,,False
women_clothing_review,aide_def,2,,,True
yolanda,aide_def,2,,,False
abalone,auto2ml_def,3,2.134799953002126,112,False
airbnb_melbourne,auto2ml_def,3,0.4263889902522245,1041,True
airlines,auto2ml_def,3,0.655853413127224,1262,True
bioresponse,auto2ml_def,3,0.8012995896032832,167,True
camo_sem_seg,auto2ml_def,3,0.8427898131680243,6358,True
cd18,auto2ml_def,3,0.445374579488168,261,True
climate_fever,auto2ml_def,3,0.4787187839305107,3719,True
covertype,auto2ml_def,3,0.976111345349352,4556,True
electricity_hourly,auto2ml_def,3,1.3934246845667495,2779,False
europeanflooddepth,auto2ml_def,3,0.6901408450704225,509,True
fiqabeir,auto2ml_def,3,0.5051871953492323,889,True
gnad10,auto2ml_def,3,0.8286577514441992,722,True
ham10000,auto2ml_def,3,0.7789841537054483,1049,True
hateful_meme,auto2ml_def,3,0.5996978851963746,628,True
isic2017,auto2ml_def,3,0.7582204122228898,8440,True
kick_starter_funding,auto2ml_def,3,0.4348586417953949,1027,True
memotion,auto2ml_def,3,0.51441647597254,3807,True
mldoc,auto2ml_def,3,0.9481145505564272,2836,True
petfinder,auto2ml_def,3,0.3970160017292427,791,True
rvl_cdip,auto2ml_def,3,0.8715210005081131,2868,True
yolanda,auto2ml_def,3,8.533146214219686,1902,False
women_clothing_review,auto2ml_def,3,0.7505504488945007,935,True
nn5_daily_without_missing,auto2ml_def,3,,,False
road_segmentation,auto2ml_def,3,,,True
solar_10_minutes,auto2ml_def,3,,,False
abalone,codex_+rea,1,2.23152,201,False
airbnb_melbourne,codex_+rea,1,0.38385,85,True
airlines,codex_+rea,1,0.65269,175,True
bioresponse,codex_+rea,1,0.88237,163,True
camo_sem_seg,codex_+rea,1,,,True
cd18,codex_+rea,1,-1.28779,84,True
climate_fever,codex_+rea,1,0.12326,1029,True
covertype,codex_+rea,1,0.95669,84,True
electricity_hourly,codex_+rea,1,,,False
europeanflooddepth,codex_+rea,1,0.43519,219,True
fiqabeir,codex_+rea,1,0.19906,171,True
gnad10,codex_+rea,1,0.84789,116,True
ham10000,codex_+rea,1,0.51061,471,True
hateful_meme,codex_+rea,1,0.5723,119,True
isic2017,codex_+rea,1,0.11121,473,True
kick_starter_funding,codex_+rea,1,0.36185,109,True
memotion,codex_+rea,1,,,True
mldoc,codex_+rea,1,0.93303,221,True
nn5_daily_without_missing,codex_+rea,1,,,False
petfinder,codex_+rea,1,0.39625,115,True
road_segmentation,codex_+rea,1,,,True
rvl_cdip,codex_+rea,1,,,True
solar_10_minutes,codex_+rea,1,,,False
women_clothing_review,codex_+rea,1,0.41876,73,True
yolanda,codex_+rea,1,9.0908,135,False
abalone,ak_def,1,,,False
airbnb_melbourne,ak_def,1,0.25276,2886,True
airlines,ak_def,1,,,True
bioresponse,ak_def,1,,,True
camo_sem_seg,ak_def,1,,,True
cd18,ak_def,1,-1.83968,1972,True
climate_fever,ak_def,1,,,True
covertype,ak_def,1,,,True
electricity_hourly,ak_def,1,,,False
europeanflooddepth,ak_def,1,,,True
fiqabeir,ak_def,1,,,True
gnad10,ak_def,1,,,True
ham10000,ak_def,1,,,True
hateful_meme,ak_def,1,0.33658,1732,True
isic2017,ak_def,1,,,True
kick_starter_funding,ak_def,1,,,True
memotion,ak_def,1,,,True
mldoc,ak_def,1,,,True
nn5_daily_without_missing,ak_def,1,,,False
petfinder,ak_def,1,0.38799,1881,True
road_segmentation,ak_def,1,,,True
rvl_cdip,ak_def,1,,,True
solar_10_minutes,ak_def,1,,,False
women_clothing_review,ak_def,1,,,True
yolanda,ak_def,1,,,False
abalone,auto2ml_8b,1,2.08725,385,False
airbnb_melbourne,auto2ml_8b,1,0.42786,3857,True
airlines,auto2ml_8b,1,0.73133,3939,True
bioresponse,auto2ml_8b,1,,,True
camo_sem_seg,auto2ml_8b,1,,,True
cd18,auto2ml_8b,1,-0.85746,1061,True
climate_fever,auto2ml_8b,1,,,True
covertype,auto2ml_8b,1,0.97578,7634,True
electricity_hourly,auto2ml_8b,1,,,False
europeanflooddepth,auto2ml_8b,1,0.69492,738,True
fiqabeir,auto2ml_8b,1,,,True
gnad10,auto2ml_8b,1,0.85018,3453,True
ham10000,auto2ml_8b,1,0.5692,1703,True
hateful_meme,auto2ml_8b,1,0.60732,2060,True
isic2017,auto2ml_8b,1,,,True
kick_starter_funding,auto2ml_8b,1,0.32731,3309,True
memotion,auto2ml_8b,1,,,True
mldoc,auto2ml_8b,1,0.94745,4236,True
nn5_daily_without_missing,auto2ml_8b,1,,,False
petfinder,auto2ml_8b,1,0.40495,3355,True
road_segmentation,auto2ml_8b,1,,,True
rvl_cdip,auto2ml_8b,1,,,True
solar_10_minutes,auto2ml_8b,1,,,False
women_clothing_review,auto2ml_8b,1,0.72367,5132,True
yolanda,auto2ml_8b,1,8.53315,7263,False
abalone,auto2ml_def,2,2.119769515075539,111,False
airbnb_melbourne,auto2ml_def,2,0.427898073449776,998,True
airlines,auto2ml_def,2,0.6575935969522474,442,True
bioresponse,auto2ml_def,2,0.814466484268126,497,True
camo_sem_seg,auto2ml_def,2,0.838986658534102,2192,True
cd18,auto2ml_def,2,0.4947390462316753,501,True
climate_fever,auto2ml_def,2,0.471433224755701,342,True
covertype,auto2ml_def,2,0.97605988551153,2634,True
electricity_hourly,auto2ml_def,2,1.4274447131626853,1848,False
europeanflooddepth,auto2ml_def,2,0.6901408450704225,615,True
fiqabeir,auto2ml_def,2,0.5067818455549936,416,True
gnad10,auto2ml_def,2,0.9107954773003814,725,True
ham10000,auto2ml_def,2,0.5554920637414477,771,True
hateful_meme,auto2ml_def,2,0.586756077116513,663,True
kick_starter_funding,auto2ml_def,2,0.470513402998637,770,True
memotion,auto2ml_def,2,0.4834668192219679,4460,True
mldoc,auto2ml_def,2,0.9486983157961708,3588,True
nn5_daily_without_missing,auto2ml_def,2,0.764843560738741,485,False
petfinder,auto2ml_def,2,0.3872274895046583,747,True
road_segmentation,auto2ml_def,2,,,True
solar_10_minutes,auto2ml_def,2,0.7037935347892686,666,False
women_clothing_review,auto2ml_def,2,0.747970700263977,1068,True
yolanda,auto2ml_def,2,8.533146214219686,2007,False
isic2017,auto2ml_def,2,,,True
rvl_cdip,auto2ml_def,2,,,True
abalone,dsa_zeroshot,1,2.36175,2,False
airbnb_melbourne,dsa_zeroshot,1,,,True
airlines,dsa_zeroshot,1,0.61194,61,True
bioresponse,dsa_zeroshot,1,0.79349,4,True
camo_sem_seg,dsa_zeroshot,1,,,True
cd18,dsa_zeroshot,1,0.33773,2,True
climate_fever,dsa_zeroshot,1,,,True
covertype,dsa_zeroshot,1,0.95187,99,True
electricity_hourly,dsa_zeroshot,1,,,False
europeanflooddepth,dsa_zeroshot,1,,,True
fiqabeir,dsa_zeroshot,1,,,True
gnad10,dsa_zeroshot,1,0.69083,14,True
ham10000,dsa_zeroshot,1,,,True
hateful_meme,dsa_zeroshot,1,,,True
isic2017,dsa_zeroshot,1,,,True
kick_starter_funding,dsa_zeroshot,1,,,True
memotion,dsa_zeroshot,1,,,True
mldoc,dsa_zeroshot,1,,,True
nn5_daily_without_missing,dsa_zeroshot,1,,,False
petfinder,dsa_zeroshot,1,0.38908,4,True
road_segmentation,dsa_zeroshot,1,,,True
rvl_cdip,dsa_zeroshot,1,,,True
solar_10_minutes,dsa_zeroshot,1,,,False
women_clothing_review,dsa_zeroshot,1,,,True
yolanda,dsa_zeroshot,1,,,False
abalone,aide_+ext,2,2.1348,651,False
airbnb_melbourne,aide_+ext,2,,,True
airlines,aide_+ext,2,0.65515,3771,True
bioresponse,aide_+ext,2,0.8013,309,True
camo_sem_seg,aide_+ext,2,,,True
cd18,aide_+ext,2,,,True
climate_fever,aide_+ext,2,,,True
covertype,aide_+ext,2,0.97351,7415,True
electricity_hourly,aide_+ext,2,,,False
europeanflooddepth,aide_+ext,2,0.68046,3784,True
fiqabeir,aide_+ext,2,,,True
gnad10,aide_+ext,2,,,True
ham10000,aide_+ext,2,0.7958,5001,True
hateful_meme,aide_+ext,2,0.50132,10802,True
isic2017,aide_+ext,2,,,True
kick_starter_funding,aide_+ext,2,0.43752,1970,True
memotion,aide_+ext,2,,,True
mldoc,aide_+ext,2,0.94836,1082,True
nn5_daily_without_missing,aide_+ext,2,,,False
petfinder,aide_+ext,2,0.36719,679,True
road_segmentation,aide_+ext,2,,,True
rvl_cdip,aide_+ext,2,,,True
solar_10_minutes,aide_+ext,2,,,False
women_clothing_review,aide_+ext,2,,,True
yolanda,aide_+ext,2,,,False
abalone,codex_def,3,,,False
airbnb_melbourne,codex_def,3,,,True
airlines,codex_def,3,,,True
bioresponse,codex_def,3,,,True
camo_sem_seg,codex_def,3,,,True
cd18,codex_def,3,,,True
climate_fever,codex_def,3,,,True
covertype,codex_def,3,,,True
electricity_hourly,codex_def,3,,,False
europeanflooddepth,codex_def,3,,,True
fiqabeir,codex_def,3,,,True
gnad10,codex_def,3,0.8466726037979784,159,True
ham10000,codex_def,3,,,True
hateful_meme,codex_def,3,,,True
isic2017,codex_def,3,,,True
kick_starter_funding,codex_def,3,,,True
memotion,codex_def,3,0.5321510297482839,,True
mldoc,codex_def,3,0.5525318561751583,85,True
nn5_daily_without_missing,codex_def,3,,,False
petfinder,codex_def,3,,,True
road_segmentation,codex_def,3,,,True
rvl_cdip,codex_def,3,,,True
solar_10_minutes,codex_def,3,,,False
women_clothing_review,codex_def,3,,,True
yolanda,codex_def,3,,,False
abalone,codex_def,2,2.2304628116305785,47,False
cd18,codex_def,2,-1.4770519138495397,173,True
covertype,codex_def,2,0.9552966196363064,48,True
gnad10,codex_def,2,0.7897101481392461,111,True
mldoc,codex_def,2,0.0936035455278001,114,True
airbnb_melbourne,codex_def,2,,,True
airlines,codex_def,2,,,True
bioresponse,codex_def,2,,,True
camo_sem_seg,codex_def,2,,,True
climate_fever,codex_def,2,,,True
electricity_hourly,codex_def,2,,,False
europeanflooddepth,codex_def,2,,,True
fiqabeir,codex_def,2,,,True
ham10000,codex_def,2,,,True
hateful_meme,codex_def,2,,,True
isic2017,codex_def,2,,,True
kick_starter_funding,codex_def,2,,,True
memotion,codex_def,2,,,True
nn5_daily_without_missing,codex_def,2,,,False
petfinder,codex_def,2,,,True
road_segmentation,codex_def,2,,,True
rvl_cdip,codex_def,2,,,True
solar_10_minutes,codex_def,2,,,False
women_clothing_review,codex_def,2,,,True
yolanda,codex_def,2,,,False
abalone,dsa_def,1,2.23794,19,False
airbnb_melbourne,dsa_def,1,,,True
airlines,dsa_def,1,,,True
bioresponse,dsa_def,1,0.79013,4,True
camo_sem_seg,dsa_def,1,,,True
cd18,dsa_def,1,-1.93824,137,True
climate_fever,dsa_def,1,,,True
covertype,dsa_def,1,0.95669,110,True
electricity_hourly,dsa_def,1,,,False
europeanflooddepth,dsa_def,1,,,True
fiqabeir,dsa_def,1,,,True
gnad10,dsa_def,1,,,True
ham10000,dsa_def,1,,,True
hateful_meme,dsa_def,1,,,True
isic2017,dsa_def,1,,,True
kick_starter_funding,dsa_def,1,,,True
memotion,dsa_def,1,,,True
mldoc,dsa_def,1,,,True
nn5_daily_without_missing,dsa_def,1,,,False
petfinder,dsa_def,1,0.35462,9,True
road_segmentation,dsa_def,1,,,True
rvl_cdip,dsa_def,1,,,True
solar_10_minutes,dsa_def,1,,,False
women_clothing_review,dsa_def,1,,,True
yolanda,dsa_def,1,,,False
abalone,auto2ml_noepi,3,2.134799953002126,265,False
airbnb_melbourne,auto2ml_noepi,3,0.4278593530745831,1086,True
airlines,auto2ml_noepi,3,0.655853413127224,1215,True
bioresponse,auto2ml_noepi,3,0.7968536251709987,197,True
camo_sem_seg,auto2ml_noepi,3,0.8398091581191902,6320,True
cd18,auto2ml_noepi,3,0.5858349372186571,526,True
climate_fever,auto2ml_noepi,3,0.4754288816503804,6657,True
covertype,auto2ml_noepi,3,0.9762629975145496,1948,True
electricity_hourly,auto2ml_noepi,3,1.3934244455817253,781,False
europeanflooddepth,auto2ml_noepi,3,0.6901408450704225,475,True
fiqabeir,auto2ml_noepi,3,0.5146258833758832,192,True
gnad10,auto2ml_noepi,3,0.8286577514441992,690,True
ham10000,auto2ml_noepi,3,0.7789841537054483,669,True
hateful_meme,auto2ml_noepi,3,0.5996978851963746,608,True
kick_starter_funding,auto2ml_noepi,3,0.4375178181127055,1226,True
memotion,auto2ml_noepi,3,0.51441647597254,2462,True
mldoc,auto2ml_noepi,3,0.9463093313748272,4681,True
nn5_daily_without_missing,auto2ml_noepi,3,0.764843560738741,211,False
petfinder,auto2ml_noepi,3,0.3970160017292427,757,True
road_segmentation,auto2ml_noepi,3,0.6009346349280082,4903,True
rvl_cdip,auto2ml_noepi,3,0.8712308029848885,2570,True
women_clothing_review,auto2ml_noepi,3,0.7505504488945007,957,True
yolanda,auto2ml_noepi,3,8.533146214219686,2010,False
isic2017,auto2ml_noepi,3,,,True
solar_10_minutes,auto2ml_noepi,3,,,False
abalone,auto2ml_8b,3,2.08725,374,False
airbnb_melbourne,auto2ml_8b,3,,,True
airlines,auto2ml_8b,3,0.65585,6638,True
bioresponse,auto2ml_8b,3,0.79685,2113,True
camo_sem_seg,auto2ml_8b,3,,,True
cd18,auto2ml_8b,3,,,True
climate_fever,auto2ml_8b,3,,,True
covertype,auto2ml_8b,3,0.97443,8769,True
electricity_hourly,auto2ml_8b,3,,,False
europeanflooddepth,auto2ml_8b,3,,,True
fiqabeir,auto2ml_8b,3,,,True
gnad10,auto2ml_8b,3,0.84324,3451,True
ham10000,auto2ml_8b,3,,,True
hateful_meme,auto2ml_8b,3,0.531,5122,True
isic2017,auto2ml_8b,3,,,True
kick_starter_funding,auto2ml_8b,3,0.46616,3382,True
memotion,auto2ml_8b,3,,,True
mldoc,auto2ml_8b,3,0.94874,7009,True
nn5_daily_without_missing,auto2ml_8b,3,,,False
petfinder,auto2ml_8b,3,0.38884,3224,True
road_segmentation,auto2ml_8b,3,,,True
rvl_cdip,auto2ml_8b,3,,,True
solar_10_minutes,auto2ml_8b,3,,,False
women_clothing_review,auto2ml_8b,3,0.50306,2337,True
yolanda,auto2ml_8b,3,8.53315,4141,False
abalone,codex_def,1,,,False
airbnb_melbourne,codex_def,1,,,True
airlines,codex_def,1,,,True
bioresponse,codex_def,1,0.79195,30,True
camo_sem_seg,codex_def,1,,,True
cd18,codex_def,1,-0.41152,85,True
climate_fever,codex_def,1,,,True
covertype,codex_def,1,,,True
electricity_hourly,codex_def,1,,,False
europeanflooddepth,codex_def,1,,,True
fiqabeir,codex_def,1,,,True
gnad10,codex_def,1,,,True
ham10000,codex_def,1,0.4842,36,True
hateful_meme,codex_def,1,,,True
isic2017,codex_def,1,,,True
kick_starter_funding,codex_def,1,,,True
memotion,codex_def,1,,,True
mldoc,codex_def,1,,,True
nn5_daily_without_missing,codex_def,1,,,False
petfinder,codex_def,1,,,True
road_segmentation,codex_def,1,,,True
rvl_cdip,codex_def,1,,,True
solar_10_minutes,codex_def,1,,,False
women_clothing_review,codex_def,1,,,True
yolanda,codex_def,1,,,False
abalone,auto2ml_def,1,2.1348,142,False
airbnb_melbourne,auto2ml_def,1,0.42639,1202,True
airlines,auto2ml_def,1,0.65585,1285,True
bioresponse,auto2ml_def,1,0.8013,3050,True
camo_sem_seg,auto2ml_def,1,0.83318,4089,True
cd18,auto2ml_def,1,0.44537,215,True
climate_fever,auto2ml_def,1,0.47635,649,True
covertype,auto2ml_def,1,0.97606,1963,True
electricity_hourly,auto2ml_def,1,1.43603,875,False
europeanflooddepth,auto2ml_def,1,0.68046,524,True
fiqabeir,auto2ml_def,1,0.48166,370,True
gnad10,auto2ml_def,1,0.83709,717,True
ham10000,auto2ml_def,1,0.55549,815,True
hateful_meme,auto2ml_def,1,0.57067,682,True
isic2017,auto2ml_def,1,0.75106,4139,True
kick_starter_funding,auto2ml_def,1,0.43752,1330,True
memotion,auto2ml_def,1,0.5025,3852,True
mldoc,auto2ml_def,1,0.95639,3699,True
nn5_daily_without_missing,auto2ml_def,1,0.76484,251,False
petfinder,auto2ml_def,1,0.38723,701,True
road_segmentation,auto2ml_def,1,0.46623,2069,True
rvl_cdip,auto2ml_def,1,0.87084,2979,True
solar_10_minutes,auto2ml_def,1,2.27289,800,False
women_clothing_review,auto2ml_def,1,0.74797,958,True
yolanda,auto2ml_def,1,8.53315,2066,False
abalone,aide_def,1,2.18247,483,False
airbnb_melbourne,aide_def,1,,,True
airlines,aide_def,1,,,True
bioresponse,aide_def,1,0.86802,434,True
camo_sem_seg,aide_def,1,,,True
cd18,aide_def,1,,,True
climate_fever,aide_def,1,,,True
covertype,aide_def,1,,,True
electricity_hourly,aide_def,1,,,False
europeanflooddepth,aide_def,1,0.72174,2170,True
fiqabeir,aide_def,1,,,True
gnad10,aide_def,1,,,True
ham10000,aide_def,1,0.80861,1492,True
hateful_meme,aide_def,1,0.55729,2672,True
isic2017,aide_def,1,,,True
kick_starter_funding,aide_def,1,,,True
memotion,aide_def,1,0.47114,1050,True
mldoc,aide_def,1,,,True
nn5_daily_without_missing,aide_def,1,,,False
petfinder,aide_def,1,,,True
road_segmentation,aide_def,1,,,True
rvl_cdip,aide_def,1,,,True
solar_10_minutes,aide_def,1,1.05369,2698,False
women_clothing_review,aide_def,1,,,True
yolanda,aide_def,1,,,False
abalone,codex_+rea,2,2.231520712203948,93,False
airbnb_melbourne,codex_+rea,2,0.3878007578064888,108,True
airlines,codex_+rea,2,0.6122894829258068,177,True
bioresponse,codex_+rea,2,0.7998461012311903,90,True
cd18,codex_+rea,2,-1.6849126283411962,136,True
climate_fever,codex_+rea,2,0.2330184581976109,165,True
covertype,codex_+rea,2,0.9552966196363064,90,True
europeanflooddepth,codex_+rea,2,,,True
gnad10,codex_+rea,2,0.8454988775731943,123,True
ham10000,codex_+rea,2,0.4514515843512126,80,True
hateful_meme,codex_+rea,2,0.453781512605042,110,True
kick_starter_funding,codex_+rea,2,0.3624342599549211,72,True
memotion,codex_+rea,2,0.7018020594965675,95,True
mldoc,codex_+rea,2,0.7883552360251032,144,True
petfinder,codex_+rea,2,0.3962508866930075,108,True
women_clothing_review,codex_+rea,2,0.0285644835412456,157,True
yolanda,codex_+rea,2,9.598088033170926,86,False
camo_sem_seg,codex_+rea,2,,,True
electricity_hourly,codex_+rea,2,,,False
fiqabeir,codex_+rea,2,,,True
isic2017,codex_+rea,2,,,True
nn5_daily_without_missing,codex_+rea,2,,,False
road_segmentation,codex_+rea,2,,,True
rvl_cdip,codex_+rea,2,,,True
solar_10_minutes,codex_+rea,2,,,False
abalone,auto2ml_8b,2,2.08725,353,False
airbnb_melbourne,auto2ml_8b,2,0.41438,3054,True
airlines,auto2ml_8b,2,,,True
bioresponse,auto2ml_8b,2,0.79685,550,True
camo_sem_seg,auto2ml_8b,2,,,True
cd18,auto2ml_8b,2,0.44537,506,True
climate_fever,auto2ml_8b,2,,,True
covertype,auto2ml_8b,2,,,True
electricity_hourly,auto2ml_8b,2,,,False
europeanflooddepth,auto2ml_8b,2,,,True
fiqabeir,auto2ml_8b,2,,,True
gnad10,auto2ml_8b,2,0.84324,2574,True
ham10000,auto2ml_8b,2,0.5692,1716,True
hateful_meme,auto2ml_8b,2,,,True
isic2017,auto2ml_8b,2,,,True
kick_starter_funding,auto2ml_8b,2,0.43752,4400,True
memotion,auto2ml_8b,2,,,True
mldoc,auto2ml_8b,2,0.94786,5422,True
nn5_daily_without_missing,auto2ml_8b,2,,,False
petfinder,auto2ml_8b,2,,,True
road_segmentation,auto2ml_8b,2,,,True
rvl_cdip,auto2ml_8b,2,,,True
solar_10_minutes,auto2ml_8b,2,,,False
women_clothing_review,auto2ml_8b,2,,,True
yolanda,auto2ml_8b,2,8.54032,8669,False
abalone,codex_+rea,3,2.3508117299081364,299,False
airbnb_melbourne,codex_+rea,3,0.3838489145404108,86,True
airlines,codex_+rea,3,0.6280997565945943,81,True
bioresponse,codex_+rea,3,0.8801727086183311,117,True
camo_sem_seg,codex_+rea,3,,,True
cd18,codex_+rea,3,-1.3617152247417137,125,True
climate_fever,codex_+rea,3,0.2306840390879474,155,True
women_clothing_review,codex_+rea,3,0.5886639235133244,127,True
covertype,codex_+rea,3,0.8409973672999792,75,True
electricity_hourly,codex_+rea,3,,,False
europeanflooddepth,codex_+rea,3,,,True
fiqabeir,codex_+rea,3,0.1985407382398122,120,True
gnad10,codex_+rea,3,0.8453020108435153,131,True
ham10000,codex_+rea,3,0.4514515843512126,75,True
hateful_meme,codex_+rea,3,0.4030668127053669,61,True
isic2017,codex_+rea,3,,,True
kick_starter_funding,codex_+rea,3,0.2850307587149692,76,True
memotion,codex_+rea,3,0.8193363844393593,152,True
mldoc,codex_+rea,3,0.73850179018581,172,True
nn5_daily_without_missing,codex_+rea,3,,,False
petfinder,codex_+rea,3,0.3962508866930075,67,True
road_segmentation,codex_+rea,3,,,True
rvl_cdip,codex_+rea,3,,,True
solar_10_minutes,codex_+rea,3,1.2856539530302675,221,False
yolanda,codex_+rea,3,9.59808823630102,75,False
abalone,dsa_def,3,,,False
airbnb_melbourne,dsa_def,3,,,True
airlines,dsa_def,3,,,True
bioresponse,dsa_def,3,,,True
camo_sem_seg,dsa_def,3,,,True
cd18,dsa_def,3,,,True
climate_fever,dsa_def,3,,,True
covertype,dsa_def,3,,,True
electricity_hourly,dsa_def,3,,,False
europeanflooddepth,dsa_def,3,,,True
fiqabeir,dsa_def,3,,,True
gnad10,dsa_def,3,,,True
ham10000,dsa_def,3,,,True
hateful_meme,dsa_def,3,,,True
isic2017,dsa_def,3,,,True
kick_starter_funding,dsa_def,3,,,True
memotion,dsa_def,3,,,True
mldoc,dsa_def,3,,,True
nn5_daily_without_missing,dsa_def,3,,,False
petfinder,dsa_def,3,0.3694094884363242,4,True
road_segmentation,dsa_def,3,,,True
rvl_cdip,dsa_def,3,,,True
solar_10_minutes,dsa_def,3,,,False
women_clothing_review,dsa_def,3,,,True
yolanda,dsa_def,3,,,False
abalone,aide_def,3,2.18777,445,False
airbnb_melbourne,aide_def,3,,,True
airlines,aide_def,3,,,True
bioresponse,aide_def,3,,,True
camo_sem_seg,aide_def,3,,,True
cd18,aide_def,3,,,True
climate_fever,aide_def,3,,,True
covertype,aide_def,3,0.87967,197,True
electricity_hourly,aide_def,3,,,False
europeanflooddepth,aide_def,3,0.69284,4365,True
fiqabeir,aide_def,3,,,True
gnad10,aide_def,3,0.89749,2912,True
ham10000,aide_def,3,0.81207,3839,True
hateful_meme,aide_def,3,,,True
isic2017,aide_def,3,,,True
kick_starter_funding,aide_def,3,,,True
memotion,aide_def,3,,,True
mldoc,aide_def,3,,,True
nn5_daily_without_missing,aide_def,3,,,False
petfinder,aide_def,3,0.33612,652,True
road_segmentation,aide_def,3,,,True
rvl_cdip,aide_def,3,,,True
solar_10_minutes,aide_def,3,,,False
women_clothing_review,aide_def,3,,,True
yolanda,aide_def,3,,,False
abalone,dsa_def,2,,,False
airbnb_melbourne,dsa_def,2,,,True
airlines,dsa_def,2,,,True
bioresponse,dsa_def,2,0.7934906520747834,4,True
camo_sem_seg,dsa_def,2,,,True
cd18,dsa_def,2,,,True
climate_fever,dsa_def,2,,,True
covertype,dsa_def,2,,,True
electricity_hourly,dsa_def,2,,,False
europeanflooddepth,dsa_def,2,,,True
fiqabeir,dsa_def,2,,,True
gnad10,dsa_def,2,,,True
ham10000,dsa_def,2,,,True
hateful_meme,dsa_def,2,,,True
isic2017,dsa_def,2,,,True
kick_starter_funding,dsa_def,2,,,True
memotion,dsa_def,2,,,True
mldoc,dsa_def,2,0.9485730580122854,1265,True
nn5_daily_without_missing,dsa_def,2,4.682116055780269,6,False
petfinder,dsa_def,2,0.3501352435230807,3,True
road_segmentation,dsa_def,2,,,True
rvl_cdip,dsa_def,2,,,True
solar_10_minutes,dsa_def,2,,,False
women_clothing_review,dsa_def,2,,,True
yolanda,dsa_def,2,,,False
abalone,auto2ml_noext+env,1,2.21769,165,False
airbnb_melbourne,auto2ml_noext+env,1,0.39775,329,True
airlines,auto2ml_noext+env,1,0.6422,422,True
bioresponse,auto2ml_noext+env,1,0.87688,659,True
camo_sem_seg,auto2ml_noext+env,1,,,True
cd18,auto2ml_noext+env,1,-0.63429,223,True
climate_fever,auto2ml_noext+env,1,,,True
covertype,auto2ml_noext+env,1,0.88666,688,True
electricity_hourly,auto2ml_noext+env,1,1.7527,848,False
